Data;Regional;UC;Familias1;Produtos;Producao;Unidade;V.Total;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Farinha;3000;Kg;7200;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Farinha;900;Kg;3600;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Farinha;1020;Kg;4080;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Farinha;480;Kg;1920;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Farinha;1800;Kg;7200;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Farinha;1800;Kg;7200;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Farinha;1500;Kg;720;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Farinha;600;Kg;1200;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Farinha;60;Kg;0;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Farinha;1800;Kg;4000;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Avicultura;50;Unidade;300;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Farinha;900;Kg;1920;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Farinha;2400;Kg;4800;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Farinha;1440;Kg;5760;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Farinha;600;Kg;2400;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Farinha;900;Kg;1500;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Acai;250;Kg;750;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Avicultura;60;Unidade;0;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Farinha;250;Kg;1000;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Farinha;2000;Kg;800;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Farinha;100;Kg;240;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Farinha;3000;Kg;7200;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Farinha;500;Kg;1200;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Farinha;400;Kg;720;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Farinha;400;Kg;1120;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Farinha;500;Kg;1200;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Farinha;400;Kg;480;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Farinha;50;Kg;200;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Farinha;200;Kg;600;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Farinha;500;Kg;2000;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Farinha;800;Kg;2400;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Farinha;1000;Kg;2400;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Farinha;3000;Kg;9000;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Farinha;3000;Kg;1800;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Farinha;4000;Kg;11250;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Avicultura;174;Kg;660;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Farinha;50;Kg;0;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Farinha;600;Kg;600;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Farinha;60;Kg;0;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Farinha;3000;Kg;5400;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Farinha;720;Kg;1980;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Castanha;210;Kg;199;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Farinha;1800;Kg;4992;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Castanha;420;Kg;1349;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Farinha;180;Kg;749;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Farinha;9000;Kg;16200;;;
2016-2017;Negro Amazonas;Florest de Maues;1;Farinha;3000;Kg;900;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;150;Kg;0;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Acai;20;Kg;60;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;200;Kg;0;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Acai;100;Kg;300;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;1400;Kg;1500;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Castanha;4000;Kg;8000;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;600;Kg;700;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;360;Kg;360;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Madeira;100;Kg;3000;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;600;Kg;360;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;9000;Kg;33600;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;3000;Kg;9600;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;2400;Kg;6000;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;1800;Kg;4500;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Castanha;25000;Kg;50000;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Castanha;80000;Kg;160000;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Acai;300;Unidade;10500;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Pirarucu;4300;Kg;23650;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;9000;Kg;27000;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Acai;5000;Kg;15000;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Castanha;13600;Kg;243000;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Pirarucu;4500;Kg;25200;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Acai;2400;Kg;7200;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;450;Kg;0;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Castanha;14800;Kg;14800;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Acai;155;Kg;465;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;1800;Kg;3600;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Acai;1000;Kg;800;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;300;Kg;720;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;300;Kg;900;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Oleos;80;Kg;1600;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;600;Kg;2025;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;2000;Kg;6000;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Oleos;45;Kg;900;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;900;Kg;2025;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Acai;750;Kg;3500;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;600;Kg;0;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;600;Kg;900;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Castanha;6000;Kg;6000;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;600;Kg;900;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;1200;Kg;960;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;720;Kg;0;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Acai;30;Kg;90;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;250;Kg;0;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;1800;Kg;4050;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;600;Kg;1350;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;150;Kg;0;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Acai;160;Kg;480;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Castanha;4000;Kg;4000;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Acai;100;Kg;300;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Farinha;1500;Kg;2000;;;
2016-2017;Negro Amazonas;RDS Piagacu Purus;1;Castanha;2000;Kg;2000;;;
